n_faces,face_area,max_conf,face_boxes,id,year
4,0.0416,0.918,"0.4416,0.4648,0.116,0.0948|0.441,0.2962,0.1105,0.0965|0.204,0.4672,0.1097,0.0959|0.6879,0.4702,0.1061,0.0887",6069,1987
2,0.0481,0.867,"0.4626,0.3344,0.1748,0.1518|0.4648,0.1004,0.1505,0.1435",340103,2016
0,0.0,0.0,,417384,2019
1,0.0128,0.893,"0.4476,0.2911,0.1211,0.1055",368182,2016
0,0.0,0.0,,1024530,2022
1,0.0179,0.883,"0.2297,0.2024,0.1408,0.1269",346672,2016
1,0.0014,0.628,"0.6988,0.2748,0.0407,0.0348",37707,2009
1,0.1459,0.912,"0.0511,0.1877,0.4134,0.3529",125509,2012
5,0.0991,0.916,"0.3398,0.1914,0.196,0.1848|0.1911,0.2223,0.1442,0.1231|0.1026,0.2624,0.134,0.1234|0.6013,0.1944,0.1347,0.1165|0.7491,0.2281,0.1241,0.1036",12095,1999
1,0.003,0.88,"0.4746,0.2709,0.0596,0.0505",77949,2011
0,0.0,0.0,,19185,1990
1,0.2842,0.924,"0.2387,0.1255,0.5974,0.4758",6933,2008
0,0.0,0.0,,694,1980
0,0.0,0.0,,9966,2007
0,0.0,0.0,,672582,2021
0,0.0,0.0,,312831,2015
0,0.0,0.0,,6488,1990
1,0.021,0.918,"0.4104,0.4622,0.1581,0.1326",13121,2007
0,0.0,0.0,,447332,2018
1,0.0682,0.877,"0.3604,0.2113,0.2798,0.2438",611489,2020
0,0.0,0.0,,549294,2020
0,0.0,0.0,,38358,2010
0,0.0,0.0,,934207,2022
0,0.0,0.0,,256274,2014
0,0.0,0.0,,11547,2003
1,0.0981,0.932,"0.2992,0.1585,0.344,0.285",460019,2018
