n_faces,face_area,max_conf,id,year
768,2001,2,0.2413
660942,2021,0,0.0
13885,2007,1,0.0036
10166,1990,1,0.0057
9374,1992,3,0.0414
268690,2014,3,0.0176
790,1980,1,0.0163
28355,2009,1,0.1955
82990,2012,0,0.0
18011,2000,1,0.0045
532638,2018,0,0.0
8078,1997,0,0.0
306947,2015,1,0.003
13510,2008,1,0.0431
287903,2015,2,0.0059
83899,2011,0,0.0
833339,2022,1,0.015
532710,2022,1,0.1384
333371,2016,0,0.0
34004,2001,1,0.3686
579,1978,1,0.0021
277685,2014,0,0.0
11415,1986,0,0.0
681429,2020,4,0.0563
496704,2018,2,0.0028
14863,2008,5,0.0266
391262,2016,0,0.0
9678,2000,1,0.0068
615774,2019,1,0.0134
49797,2010,1,0.2837
8769,1983,0,0.0
361292,2018,0,0.0
171823,2012,1,0.0269
1923,1992,1,0.0305
431259,2017,1,0.0071
37707,2009,1,0.0014
611489,2020,1,0.0682
480105,2019,0,0.0
9966,2007,0,0.0
1577,2004,1,0.0096
10331,1968,2,0.0171
282813,2014,0,0.0
9529,1992,0,0.0
17609,2009,0,0.0
49017,2014,1,0.0032
409582,2018,3,0.0853
13515,2008,1,0.003
474764,2020,0,0.0
792678,2021,0,0.0
10552,1985,1,0.0184
615017,2019,0,0.0
633604,2019,1,0.0064
580,1987,0,0.0
627661,2020,2,0.013
923,1978,0,0.0
11069,1996,3,0.0049
1023086,2022,1,0.0958
503919,2019,0,0.0
780609,2022,0,0.0
432130,2017,0,0.0
213646,1993,2,0.0273
340837,2017,0,0.0
18334,1985,0,0.0
10307,1999,0,0.0
388045,2016,1,0.0209
27414,1984,0,0.0
297608,2014,1,0.5961
505058,2018,1,0.453
10906,1992,2,0.1328
470229,2018,1,0.0728
9669,1999,0,0.0
9406,1997,0,0.0
444149,2018,0,0.0
9426,1986,0,0.0
292280,2017,0,0.0
146301,2015,0,0.0
17692,1983,0,0.0
452507,2017,1,0.0179
502416,2019,1,0.5164
329010,2016,1,0.4058
9913,2005,0,0.0
150202,2013,0,0.0
11449,1979,0,0.0
9711,2004,1,0.0808
100241,2014,0,0.0
10586,1996,2,0.1059
473149,2018,2,0.1841
571627,2019,3,0.0581
19287,1996,0,0.0
42941,2010,4,0.0764
12700,2005,0,0.0
605804,2020,0,0.0
34081,2002,1,1.0402
287424,2015,2,0.1107
384521,2018,0,0.0
126172,2014,0,0.0
489430,2018,0,0.0
134597,2012,0,0.0
1547,1987,0,0.0
385320,2016,0,0.0
546121,2020,1,0.1022
29427,2010,0,0.0
10336,1997,0,0.0
523371,2020,0,0.0
19543,2009,2,0.0205
794960,2021,0,0.0
1576,2002,2,0.019
625814,2019,0,0.0
7092,2004,1,0.0051
50698,2011,2,0.0017
708336,2020,0,0.0
49730,2011,1,0.0046
518158,2018,1,0.0265
1027160,2022,1,0.1497
343674,2017,0,0.0
467012,2017,0,0.0
161326,2008,1,0.0079
84348,2012,0,0.0
529149,2019,2,0.2721
11133,1986,1,0.0065
13190,2008,1,0.1283
1946,1999,2,0.054
3600,1998,4,0.2223
1021591,2022,0,0.0
19898,2009,0,0.0
11531,2000,0,0.0
382602,2016,2,0.0232
6171,2003,0,0.0
9980,1986,3,0.0092
316154,2017,0,0.0
250574,2014,0,0.0
11460,2005,2,0.1617
246196,2013,4,0.0406
753453,2021,0,0.0
805,1968,0,0.0
672741,2021,1,0.0475
393519,2016,1,0.6746
738542,2020,0,0.0
254474,2014,1,0.0011
396493,2017,2,0.0055
65086,2012,0,0.0
653598,2020,1,0.0756
241258,2016,2,0.1813
571384,2020,2,0.0993
806,2006,2,0.0078
9035,2006,0,0.0
467938,2017,1,0.0783
184346,2014,0,0.0
0,0.0,0.0,9645,2002
0,0.0,0.0,1691,2007
5,0.0681,0.924,11442,2002
0,0.0,0.0,431075,2019
7,0.0954,0.926,520023,2022
1,0.0046,0.93,573680,2021
0,0.0,0.0,280092,2015
5,0.004,0.834,664168,2020
0,0.0,0.0,10320,2005
2,0.0356,0.915,669671,2021
3,0.058,0.858,658558,2020
1,0.0425,0.871,648990,2020
3,0.0085,0.88,119698,2012
4,0.1229,0.918,842052,2022
0,0.0,0.0,41439,2010
2,0.0188,0.913,7340,1976
0,0.0,0.0,433808,2017
3,0.0154,0.927,747,2004
1,0.079,0.856,615982,2019
1,0.0008,0.717,485811,2018
0,0.0,0.0,787009,2021
5,0.1022,0.907,458305,2019
1,0.0902,0.864,112355,1972
1,0.059,0.677,5336,1976
1,0.0715,0.747,807356,2022
1,0.2473,0.66,2667,1999
0,0.0,0.0,9725,1981
0,0.0,0.0,764,1981
0,0.0,0.0,23437,2010
0,0.0,0.0,768334,2021
2,0.0026,0.776,870096,2022
0,0.0,0.0,19286,1995
0,0.0,0.0,242512,2014
0,0.0,0.0,6114,1992
1,0.0289,0.913,377,1984
0,0.0,0.0,1970,2004
4,0.0639,0.908,871875,2021
