id,year,title,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,rek_mod,rek_violence,rek_mod_weapons,rek_gore,rek_n_faces,rek_emotion,rek_gender,rek_age_lo,rek_age_hi
258193,2014,Alien Abduction,Advertisement:0.99|Poster:0.99|Text:0.89|Piano:0.78|Logo:0.56|Alien:0.56|Newspaper:0.55|Page:0.55|Symbol:0.55|Stencil:0.54,Advertisement,0.9945,0.5088,0.0,0.0,0.0,0.0,0.5363,1,94.39,86.86,95.02,#ffebcd:43.4|#000000:14.8|#2f4f4f:11.7|#c0c0c0:10.0|#dcdcdc:7.1,,0.0,0.0,0.0,0,,,-1,-1
25748,1992,Children of the Corn II: The Final Sacrifice,Book:1.00|Publication:1.00|Adult:0.93|Bride:0.93|Female:0.93|Person:0.93|Woman:0.93|Blade:0.91|Dagger:0.91|Weapon:0.91,Book,1.0,0.912,0.0,0.9278,0.0,0.0,0.0,7,25.51,89.16,88.0,#000000:58.2|#2f4f4f:15.6|#a9a9a9:9.3|#696969:7.8|#dcdcdc:4.6,Weapon Violence:0.69|Graphic Violence:0.69|Violence:0.69|Weapons:0.63,0.6944,0.6324,0.0,1,SAD:0.98,Female,9,15
10012,2005,Cursed,Ice:1.00|Book:1.00|Publication:1.00|Outdoors:0.93|Nature:0.92|Winter:0.81|Shark:0.78|Advertisement:0.71|Snow:0.71|Electronics:0.62,Ice,0.9995,0.0,0.7781,0.0,0.0,0.0,0.5302,1,31.95,79.22,94.24,#000000:52.1|#2f4f4f:16.3|#dcdcdc:8.4|#708090:8.1|#a9a9a9:8.1,,0.0,0.0,0.0,1,CALM:0.98,Female,23,29
11252,1998,Psycho,Advertisement:1.00|Poster:1.00|Adult:0.92|Bride:0.92|Female:0.92|Person:0.92|Woman:0.92|Back:0.89|Silhouette:0.88|Text:0.56,Advertisement,1.0,0.0,0.0,0.9194,0.0,0.0,0.8766,5,0.0,33.02,91.02,#000000:63.7|#c0c0c0:13.5|#a52a2a:10.4|#800000:6.1|#bc8f8f:5.9,,0.0,0.0,0.0,0,,,-1,-1
580,1987,Jaws: The Revenge,Adult:0.95|Female:0.95|Person:0.95|Woman:0.95|Animal:0.93|Sea Life:0.93|Fish:0.90|Shark:0.79|Fishing:0.56|Water:0.56,Adult,0.9524,0.0,0.926,0.9524,0.5556,0.0,0.0,5,79.68,81.2,89.64,#4682b4:31.1|#dcdcdc:21.0|#87cefa:15.9|#87ceeb:9.4|#000000:9.2,,0.0,0.0,0.0,0,,,-1,-1
591274,2021,Fear Street: 1978,Advertisement:1.00|Poster:1.00|Adult:1.00|Female:1.00|Person:1.00|Woman:1.00|Face:0.99|Head:0.99|Portrait:0.99|Male:0.99,Advertisement,1.0,0.9265,0.0,0.997,0.0,0.0,0.0,11,42.21,49.32,76.47,#800000:36.3|#000000:34.0|#b22222:10.3|#8b0000:9.3|#8b4513:7.1,,0.0,0.0,0.0,1,FEAR:1.00,Female,18,22
420707,2017,Cage Dive,Vehicle:0.96|Yacht:0.96|Animal:0.93|Fish:0.93|Sea Life:0.93|Shark:0.93|Advertisement:0.93|Boat:0.91|Nature:0.63|Outdoors:0.63,Vehicle,0.9605,0.0,0.9338,0.0,0.6344,0.0,0.0,2,44.01,77.54,90.76,#191970:41.8|#000000:22.1|#483d8b:12.4|#dcdcdc:8.1|#a9a9a9:6.5,,0.0,0.0,0.0,0,,,-1,-1
59115,2011,Quarantine 2: Terminal,Book:1.00|Publication:1.00|Advertisement:0.99|Poster:0.98|Adult:0.98|Bride:0.98|Female:0.98|Person:0.98|Woman:0.98|Window:0.79,Book,0.9995,0.0,0.0,0.9769,0.0,0.0,0.0,6,42.33,81.25,81.14,#2f4f4f:60.7|#000000:22.0|#2e8b57:10.4|#66cdaa:5.7|#ffffff:0.7,,0.0,0.0,0.0,1,FEAR:0.99,Female,26,34
763149,2021,Aftermath,Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|House:1.00|Housing:1.00|Staircase:1.00|Book:1.00|Publication:1.00,Face,0.9997,0.0,0.0,0.9997,0.0,0.0,0.5531,4,5.58,34.69,77.35,#000000:80.8|#8b4513:6.9|#2f4f4f:5.7|#800000:2.8|#d2691e:2.3,,0.0,0.0,0.0,1,FEAR:0.99,Female,23,29
10552,1985,Cat's Eye,Person:1.00|Photography:1.00|Portrait:1.00|Child:0.97|Female:0.97|Girl:0.97|Book:0.97|Publication:0.97|Animal:0.87|Cat:0.87,Person,0.9994,0.0,0.8709,0.9994,0.0,0.0,0.0,7,21.6,79.16,80.63,#000000:61.1|#2f4f4f:20.8|#696969:8.3|#bc8f8f:5.6|#dcdcdc:2.1,,0.0,0.0,0.0,1,CALM:0.50,Female,5,11
280002,2014,The Remaining,Dragon:0.92|Outdoors:0.85|Nature:0.85|Shark:0.77|Sea:0.58|Water:0.58|Ice:0.57|Sea Waves:0.55|Tsunami:0.55|Book:0.55,Dragon,0.9236,0.0,0.773,0.0,0.5781,0.0,0.0,1,50.25,77.11,86.21,#000000:35.2|#2f4f4f:25.4|#87ceeb:14.3|#5f9ea0:10.2|#4682b4:9.7,,0.0,0.0,0.0,0,,,-1,-1
340601,2018,Delirium,Pants:1.00|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Photography:0.99|Performer:0.99|Solo Performance:0.99|Portrait:0.96|Shoe:0.90,Pants,0.9999,0.5287,0.0,0.993,0.0,0.0,0.0,5,30.03,77.26,78.72,#000000:59.4|#2f4f4f:30.6|#696969:4.7|#c0c0c0:2.9|#808080:2.4,,0.0,0.0,0.0,2,FEAR:0.96,Male,27,35
291167,2014,Crystal Skulls,Vegetation:1.00|Nature:0.99|Outdoors:0.99|Jungle:0.99|Land:0.96|Rainforest:0.96|Tree:0.96|Turtle:0.87|Shark:0.76|Advertisement:0.58,Vegetation,0.9992,0.0,0.762,0.0,0.5559,0.0,0.0,2,60.87,80.39,83.24,#2f4f4f:36.7|#808080:18.5|#c0c0c0:17.6|#696969:16.7|#000000:9.0,,0.0,0.0,0.0,0,,,-1,-1
10127,1988,Critters 2,Advertisement:1.00|Poster:1.00|Book:0.98|Publication:0.98|Tree:0.83|Adult:0.82|Bride:0.82|Female:0.82|Person:0.82|Woman:0.82,Advertisement,1.0,0.0,0.6263,0.8238,0.0,0.0,0.0,5,34.2,82.93,86.78,#000000:44.5|#191970:25.0|#2f4f4f:10.3|#dcdcdc:7.6|#696969:3.7,,0.0,0.0,0.0,0,,,-1,-1
509635,2020,Alone,Book:0.93|Publication:0.93|Baby:0.92|Person:0.92|Vehicle:0.82|Adult:0.81|Male:0.81|Man:0.81|Car:0.70|Car - Exterior:0.62,Book,0.9288,0.0,0.0,0.9167,0.0,0.0,0.0,7,8.41,21.76,77.65,#000000:78.2|#2f4f4f:16.9|#808080:2.8|#a9a9a9:1.5|#dcdcdc:0.7,,0.0,0.0,0.0,0,,,-1,-1
998340,2016,Smile,Disk:0.81|Book:0.75|Publication:0.75|Symbol:0.57|Animal:0.57|Spider:0.57|Balloon:0.56|Logo:0.55|Pirate:0.55|Alien:0.54,Disk,0.8115,0.0,0.5653,0.0,0.0,0.0,0.0,1,58.46,49.06,91.49,#000000:24.5|#ffff00:19.7|#696969:16.8|#2f4f4f:16.6|#ffd700:6.9,,0.0,0.0,0.0,0,,,-1,-1
10206,1992,Buffy the Vampire Slayer,Adult:1.00|Female:1.00|Person:1.00|Woman:1.00|Advertisement:0.99|Poster:0.99|Publication:0.98|Book:0.89|Smoke Pipe:0.63|Photography:0.56,Adult,0.9958,0.0,0.0,0.9958,0.0,0.0,0.0,5,88.82,86.15,97.65,#ffffff:46.9|#000000:19.7|#800080:7.7|#e9967a:5.9|#556b2f:5.0,,0.0,0.0,0.0,2,CALM:0.87,Male,22,28
79316,2014,Devil's Due,Book:1.00|Publication:1.00|Adult:0.98|Female:0.98|Person:0.98|Woman:0.98|Furniture:0.72|Novel:0.58|Dungeon:0.56|Art:0.55,Book,1.0,0.0,0.0,0.9841,0.0,0.0,0.0,4,9.67,72.39,78.13,#000000:71.9|#2f4f4f:20.8|#cd853f:4.7|#c0c0c0:1.1|#a52a2a:1.1,,0.0,0.0,0.0,1,ANGRY:0.98,Female,24,30
528091,2019,The Furies,Adult:1.00|Female:1.00|Person:1.00|Woman:1.00|Face:0.99|Head:0.99|Photography:0.99|Portrait:0.99|Weapon:0.92|Device:0.89,Adult,0.9964,0.9181,0.0,0.9964,0.0,0.0,0.0,4,40.59,46.65,85.28,#000000:49.8|#2f4f4f:12.5|#800000:12.4|#e9967a:10.0|#bc8f8f:9.2,,0.0,0.0,0.0,1,CALM:0.75,Female,23,29
41446,2011,Scream 4,Advertisement:1.00|Poster:1.00|Face:0.95|Head:0.95|Portrait:0.95|Book:0.76|Publication:0.76|Shark:0.65|Black Hair:0.55|Hair:0.55,Advertisement,0.9994,0.0,0.6496,0.9471,0.0,0.0,0.0,1,0.0,80.79,93.02,#000000:80.3|#dcdcdc:11.0|#808080:2.5|#2f4f4f:2.4|#a0522d:1.6,,0.0,0.0,0.0,7,CALM:0.99,Female,27,35
