brightness,dark_share,saturation,red_share,palette,palette_share,id,title,year
62.96,0.1678,0.3228,0.1024,"[""#d7dad3"", ""#c55d39"", ""#1c1613"", ""#f0d83d"", ""#6a503e""]","[0.247, 0.226, 0.202, 0.191, 0.134]",72313,Gorilla at Large,1954
62.83,0.2161,0.3057,0.064,"[""#1c1d3b"", ""#d1dfd0"", ""#d8502b"", ""#6f5849"", ""#ebd66a""]","[0.355, 0.333, 0.132, 0.102, 0.078]",26854,4D Man,1959
19.96,0.6467,0.0958,0.0825,"[""#0c0909"", ""#570606"", ""#a80406"", ""#555555"", ""#aaaaaa""]","[0.526, 0.143, 0.116, 0.112, 0.104]",116325,Half Human: The Story of the Abominable Snowman,1958
57.58,0.1609,0.3633,0.0403,"[""#1c1924"", ""#c7bebd"", ""#e3c35d"", ""#7a5f44"", ""#c74212""]","[0.272, 0.232, 0.222, 0.17, 0.104]",18983,"Godzilla, King of the Monsters!",1956
58.13,0.1253,0.583,0.4054,"[""#f6360f"", ""#251c1d"", ""#9e502c"", ""#ede4c2"", ""#dca750""]","[0.515, 0.142, 0.13, 0.126, 0.087]",28775,The Neanderthal Man,1953
30.76,0.4821,0.5141,0.0729,"[""#171410"", ""#6fa545"", ""#375527"", ""#c14322"", ""#d0c321""]","[0.38, 0.212, 0.196, 0.108, 0.105]",38126,Return of the Fly,1959
8.67,0.8333,0.2866,0.0996,"[""#080709"", ""#a70e0d"", ""#580c0d"", ""#403f48"", ""#939199""]","[0.724, 0.153, 0.054, 0.047, 0.022]",194290,The Medium,1951
8.37,0.839,0.1817,0.0741,"[""#050202"", ""#5e0a0c"", ""#584e3b"", ""#c40506"", ""#a7997d""]","[0.68, 0.119, 0.068, 0.066, 0.066]",475758,The Professor,1958
48.73,0.2306,0.487,0.0514,"[""#8f7c1a"", ""#150707"", ""#97846a"", ""#5d3628"", ""#e2e0d6""]","[0.38, 0.286, 0.137, 0.109, 0.088]",31682,The Incredible Shrinking Man,1957
47.06,0.2967,0.3518,0.0431,"[""#312456"", ""#1e1a1c"", ""#dbd5d1"", ""#766c87"", ""#95290e""]","[0.424, 0.175, 0.174, 0.14, 0.088]",117019,Ghost Ship,1952
43.42,0.2325,0.5612,0.0768,"[""#402217"", ""#9f652a"", ""#dac54f"", ""#4a4172"", ""#b29c8f""]","[0.336, 0.294, 0.16, 0.126, 0.084]",36089,The Giant Claw,1957
30.2,0.5337,0.4564,0.0409,"[""#0c0906"", ""#97c42e"", ""#505819"", ""#bec4b4"", ""#cd1d09""]","[0.51, 0.188, 0.171, 0.075, 0.055]",210653,The Man Without a Face,1950
43.55,0.3134,0.4011,0.1739,"[""#171413"", ""#f1d77d"", ""#77321e"", ""#9a9d98"", ""#d7441a""]","[0.288, 0.198, 0.174, 0.17, 0.17]",92708,The New Invisible Man,1958
42.46,0.4651,0.4562,0.0,"[""#f6f71d"", ""#0c0a07"", ""#62623a"", ""#b8ba3c"", ""#dadada""]","[0.421, 0.355, 0.099, 0.098, 0.027]",28770,The Man Who Could Cheat Death,1959
49.38,0.2134,0.444,0.0287,"[""#313a39"", ""#c6c6b2"", ""#7e8d2f"", ""#b45822"", ""#e4c920""]","[0.42, 0.173, 0.161, 0.136, 0.11]",85498,The Maze,1953
64.89,0.0227,0.4303,0.0954,"[""#e6d4b5"", ""#5e3f2d"", ""#b47c44"", ""#e5b722"", ""#f45125""]","[0.276, 0.268, 0.2, 0.134, 0.122]",29057,Monster from the Ocean Floor,1954
50.29,0.2442,0.3258,0.059,"[""#382526"", ""#6996a0"", ""#81bce9"", ""#e0d9bc"", ""#3a4d86""]","[0.36, 0.288, 0.16, 0.12, 0.072]",171502,Half Human,1955
66.91,0.2167,0.0,0.0,"[""#fafafa"", ""#0b0b0b"", ""#bebebe"", ""#414141"", ""#7f7f7f""]","[0.508, 0.194, 0.12, 0.09, 0.089]",982494,Dendam Pontianak,1957
71.26,0.0966,0.2542,0.2074,"[""#f5ecf4"", ""#e41413"", ""#28171c"", ""#ae3231"", ""#978185""]","[0.344, 0.202, 0.189, 0.169, 0.096]",136695,Uncle Was A Vampire,1959
57.26,0.0767,0.2771,0.1004,"[""#c6bfb9"", ""#92735b"", ""#463435"", ""#b4961a"", ""#952815""]","[0.261, 0.246, 0.232, 0.165, 0.096]",29238,The Man Who Turned to Stone,1957
62.44,0.002,0.0,0.0,"[""#9b9b9b"", ""#818181"", ""#b4b4b4"", ""#5c5c5c"", ""#f0f0f0""]","[0.446, 0.216, 0.19, 0.103, 0.046]",495447,Whistle and I'll Come to You!,1956
30.84,0.579,0.5756,0.0399,"[""#190a0d"", ""#354170"", ""#efbc4a"", ""#755038"", ""#eeecce""]","[0.65, 0.11, 0.088, 0.078, 0.073]",194166,The Body Snatcher,1957
