id,label,score,title,year,is_animal,is_creature
36209,masked_killer,0.559,Zombie vs. Ninja,1988,False,True
323079,uncertain,0.287,The Basement,2011,False,False
90765,uncertain,0.233,The 7th Hunt,2009,False,False
180886,uncertain,0.316,Spooky Town,1999,False,False
187591,uncertain,0.266,666 (Beware the End Is at Hand),2007,False,False
474810,uncertain,0.255,Ghastlies,2016,False,False
515362,uncertain,0.187,Maniac Farmer,2019,False,False
590084,uncertain,0.338,Night,2019,False,False
55813,uncertain,0.187,Hot Rod Horror,2008,False,False
68270,uncertain,0.443,Scarred,2005,False,False
76195,uncertain,0.302,Centipede,2004,False,False
213396,masked_killer,0.552,Polymorph,1996,False,True
93755,witch,0.811,Sexual Magic,2001,False,True
351201,uncertain,0.409,Phantom Love,2001,False,False
724457,zombie,0.828,Hacked,2020,False,True
744538,uncertain,0.394,Dead Teenager Movie,2006,False,False
858159,uncertain,0.346,Human Resources,2021,False,False
928603,uncertain,0.366,Guilt,2022,False,False
56252,uncertain,0.463,Ngangkung,2012,False,False
239728,demon,0.827,Legacy of Satan,1974,False,True
598635,uncertain,0.294,Do You See Me,2017,False,False
435871,uncertain,0.3,Haunted: The Ferryman,1974,False,False
452339,ghost,0.681,Ciaran The Demon Hunter,2016,False,True
404357,zombie,0.601,Deadwood Falls,2017,False,True
498744,witch,0.691,The Faith Community,2017,False,True
447599,uncertain,0.428,The Moonlight Man,2016,False,False
443018,uncertain,0.461,Powerbomb,2020,False,False
282448,uncertain,0.375,Hunting the Legend,2014,False,False
85150,uncertain,0.277,Blood Frenzy,1987,False,False
551220,uncertain,0.318,Fairfield,2014,False,False
492523,uncertain,0.382,Rotgut,2012,False,False
452997,uncertain,0.154,Panteon Woods,2015,False,False
818972,uncertain,0.366,"Wrong Place, Wrong Time",2021,False,False
211045,uncertain,0.188,The Soultangler,1987,False,False
510289,none,0.59,Ramekin,2018,False,False
78198,zombie,0.914,Zombie Campout,2002,False,True
111476,uncertain,0.385,Playroom,1990,False,False
294979,uncertain,0.253,Play Hooky,2012,False,False
637105,ghost,0.544,Sleepy Hollow: Behind the Legend,2000,False,True
316408,masked_killer,0.686,Jimmy Tupper vs. The Goatman of Bowie,2010,False,True
532813,uncertain,0.32,Sublimate,2017,False,False
270630,uncertain,0.188,Horror House,2012,False,False
41396,skeleton,0.723,Predator Island,2005,False,True
95694,uncertain,0.398,Frat House Massacre,2008,False,False
118621,zombie,0.987,Portrait of a Zombie,2012,False,True
576611,uncertain,0.192,Frankenstein In A Women's Prison,2017,False,False
765771,uncertain,0.198,Game Camera,2013,False,False
445874,zombie,0.938,My Uncle John Is a Zombie!,2017,False,True
547055,ghost,0.672,Threshold,2016,False,True
69853,uncertain,0.322,Voodoo,1995,False,False
1012220,uncertain,0.239,Three Kings,2022,False,False
722261,uncertain,0.305,Kissed,2020,False,False
517811,uncertain,0.318,The Ferryman,2018,False,False
842343,ghost,0.769,Haunted 4: Demons,2020,False,True
370783,werewolf,0.895,Crying Wolf,2015,False,True
297173,ghost,0.55,The Expedition,2008,False,True
1023495,ghost,0.667,Prom Fright,2022,False,True
479732,uncertain,0.304,Crimson,2007,False,False
297548,uncertain,0.488,Never Can Say Good-bye,2018,False,False
116875,uncertain,0.346,The Golden Mistress,1954,False,False
442292,uncertain,0.46,Watch Me Die,2014,False,False
645516,uncertain,0.417,Bite Night,2022,False,False
83821,uncertain,0.261,Trapped Alive,1988,False,False
659223,uncertain,0.303,The Butcher,2019,False,False
520980,demon,0.558,Manos Returns,2018,False,True
693905,uncertain,0.455,The House Invictus,2020,False,False
687979,uncertain,0.259,Room 441,2020,False,False
488837,uncertain,0.49,The Boy Who Left Home to Find Out About the Shivers,1984,False,False
463945,skeleton,0.768,Genesis,2016,False,True
113146,uncertain,0.272,It's My Party and I'll Die If I Want To,2007,False,False
334895,uncertain,0.314,Footsoldier,2016,False,False
682641,uncertain,0.265,Blood Hunters: Rise Of The Hybrids,2019,False,False
360928,none,0.832,House of VHS,2015,False,False
85177,uncertain,0.371,Return of the Family Man,1989,False,False
115447,uncertain,0.279,Hell Is Full,2010,False,False
333742,skeleton,0.628,Casting the Runes,1979,False,True
271533,uncertain,0.405,Chain of Souls,2001,False,False
133535,demon,0.702,Aswang,1994,False,True
28037,uncertain,0.454,Debbie Rochon Confidential: My Years in Tromaville Exposed!,2006,False,False
554612,uncertain,0.264,The Edict,2017,False,False
332920,werewolf,0.972,A Werewolf in Slovenia,2014,False,True
476532,uncertain,0.474,Legacy Of Thorn,2016,False,False
177901,witch,0.971,Witchcraft V: Dance with the Devil,1993,False,True
301606,uncertain,0.22,Matthew 18,2014,False,False
862280,masked_killer,0.528,Nneka the Pretty Serpent,2020,False,True
616404,zombie,0.696,Sam & Mattie Make a Zombie Movie,2021,False,True
144086,alien,0.754,Blood Red Planet,2000,False,True
130972,uncertain,0.37,The Night Marchers,2001,False,False
30995,zombie,0.946,I Was a Teenage Zombie,1987,False,True
146170,uncertain,0.392,Black Mass,2005,False,False
95000,masked_killer,0.84,The Hollywood Strangler Meets the Skid Row Slasher,1979,False,True
750569,uncertain,0.455,Behind Closed Doors,2020,False,False
10702,uncertain,0.243,Ascension,2002,False,False
147278,uncertain,0.487,The Chosen One,2009,False,False
154390,ghost,0.549,A Nocturne: Night Of The Vampire,2007,False,True
337568,uncertain,0.298,Jack Attack,2013,False,False
203009,demon,0.599,Blackwood Evil,2000,False,True
155341,witch,0.52,Ax 'Em,1992,False,True
203963,uncertain,0.166,Death Scenes,1989,False,False
288505,uncertain,0.455,Creeping Crawling,2012,False,False
213212,uncertain,0.244,Janie,1970,False,False
91223,clown,0.952,Das Clown,1999,False,True
928779,uncertain,0.228,Bad Moon Rising,2022,False,False
83717,uncertain,0.339,Bloodmoon,1990,False,False
762640,uncertain,0.248,The Hopewell Haunting,2022,False,False
85156,ghost,0.59,Night Screams,1987,False,True
254544,ghost,0.645,No Return,2003,False,True
415015,uncertain,0.38,Teddy Bears Are for Lovers,2016,False,False
279817,ghost,0.654,Of Silence,2014,False,True
334742,uncertain,0.445,Fractured,2015,False,False
437634,witch,0.863,3:33 a.m.,2015,False,True
826843,uncertain,0.377,Evil Everywhere,2019,False,False
271382,uncertain,0.271,Paciente 27,2014,False,False
369588,none,0.534,Wang Fam,2015,False,False
327894,uncertain,0.435,Story of Eva,2015,False,False
360726,uncertain,0.187,The Before Time,2014,False,False
330224,uncertain,0.435,Aunt Rose,2005,False,False
413525,uncertain,0.297,Blood Drips Heavily on Newsie Square,1991,False,False
852795,uncertain,0.491,Teenage Vampire,2020,False,False
760953,uncertain,0.434,American Psychopath,2018,False,False
489791,ghost,0.673,A Boy's Life,2011,False,True
42462,uncertain,0.259,Daughter of the Mind,1969,False,False
95099,uncertain,0.32,Pathogen,2006,False,False
91982,uncertain,0.341,Primal Scream,1988,False,False
854529,uncertain,0.32,Night at the Eagle Inn,2021,False,False
713474,uncertain,0.244,Clownery,2020,False,False
758744,uncertain,0.158,Wet Willy,2020,False,False
132843,uncertain,0.231,Cassandra,1987,False,False
687037,ghost,0.654,Family Man,2008,False,True
131967,uncertain,0.451,Homicidal Impulse,1992,False,False
449954,uncertain,0.292,Taught in Cold Blood,2017,False,False
388165,demon,0.709,Heaven Becomes Hell,1989,False,True
70069,zombie,0.687,Doomed,2007,False,True
516042,uncertain,0.423,Ouijageist,2018,False,False
75101,uncertain,0.391,Red Victoria,2008,False,False
794783,uncertain,0.485,The Heiress,2021,False,False
453402,uncertain,0.186,Brutal,2012,False,False
242245,demon,0.513,Easter Casket,2013,False,True
110329,uncertain,0.407,Deadly End,2005,False,False
49746,uncertain,0.462,The Haunting of #24,2007,False,False
489712,uncertain,0.431,Interlaced,2017,False,False
489523,uncertain,0.413,The Boogeys,2017,False,False
135060,masked_killer,0.563,The Turn of the Screw,1992,False,True
593689,uncertain,0.219,The Horror at Gallery Kay,2018,False,False
751731,ghost,0.582,Reflection,2020,False,True
119159,uncertain,0.423,Sexbomb,1989,False,False
27532,zombie,0.562,Screaming Dead,2003,False,True
524296,uncertain,0.31,"Strike, Dear Mistress, and Cure His Heart",2018,False,False
798296,zombie,0.869,Companion,2021,False,True
1008812,masked_killer,0.521,The Void Cat,2021,False,True
563541,uncertain,0.357,Chainsaw Maidens from Hell,2016,False,False
484953,uncertain,0.328,Fall of Grace,2017,False,False
504169,uncertain,0.343,Blood Moon River,2017,False,False
654765,uncertain,0.403,SantaClaus: A Horror Story,2016,False,False
45031,uncertain,0.342,Raiders of the Living Dead,1986,False,False
639705,uncertain,0.431,One Night in October,2017,False,False
138967,witch,0.619,Posed for Murder,1989,False,True
1019951,uncertain,0.214,WUURM,2022,False,False
417656,ghost,0.743,Asian Ghost Story,2016,False,True
262264,uncertain,0.356,Sparrow,2010,False,False
92809,uncertain,0.302,The Dead Talk Back,1957,False,False
504145,uncertain,0.495,Hybristophilia,2022,False,False
257861,uncertain,0.322,Abandoned Souls,2010,False,False
748474,uncertain,0.211,Deprivation,2019,False,False
509899,uncertain,0.459,Kingdom of Sin,2016,False,False
752968,clown,0.518,Life's A Bitch and then One Kills You,2019,False,True
296803,uncertain,0.343,The Confessional,2009,False,False
52742,skeleton,0.645,Experiment in Torture,2007,False,True
278513,uncertain,0.464,Bloodmarsh Krackoon,2014,False,False
36854,uncertain,0.272,Shrieker,1998,False,False
366182,clown,0.955,Space Clown,2016,False,True
601446,ghost,0.585,Something Crashed in the Woods,2019,False,True
77854,ghost,0.974,The Ghosts of Crowley Hall,2008,False,True
