id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
3077,Son of Frankenstein,Son of Frankenstein,en,"One of the sons of late Dr. Henry Frankenstein finds his father's ghoulish creation in a coma and revives him, only to find out the monster is controlled by Ygor who is bent on revenge.",,1939-01-13,/oefhX4T3iWo2XFvaOunR7azWAo3.jpg,11.994,246,6.659,0,0,0,,False,/1Ek4nOpkLeBycYUr3SmLsE9Bm1e.jpg,,,
3103,House of Frankenstein,House of Frankenstein,en,"Deranged scientist, Gustav Niemann, escapes from prison and overtakes the director of a traveling chamber of horrors, soon reviving the infamous Count Dracula, the frozen Frankenstein Monster, and the Wolf Man.",,1944-12-01,/9HPcPasdgxjlSMlnyzIWrnGodOz.jpg,9.675,167,6.0,0,0,0,,False,/rlpRSGY5RG8FA7ZH1P2fDF4wRBL.jpg,,,
3416,Il Mostro di Frankenstein,Il Mostro di Frankenstein,en,"The last silent Frankenstein film. While there is plenty of promotional material proving this film was shown internationally, there is currently no known film print and it is believed lost.  A scientist manages to create a man with a chemical formula of his own invention, but the creature rebels against his creator and commits all sorts of disasters until he is reduced to impotence by the  baron.",,1920-01-01,/xrVaRlKSvfN2E5aJwfx5M5xUi8J.jpg,0.952,1,8.0,0,0,0,,False,/rhGRFWISatEWsKRGknq4EZgUnN4.jpg,,,
3484,The Mask of Fu Manchu,The Mask of Fu Manchu,en,"The villainous Dr. Fu Manchu races against a team of Englishmen to find the tomb of Ghengis Khan, because he wants to use the relics to cause an uprising in the East to wipe out the white race.",,1932-11-05,/uOHkX1bt2qNrd3Nivg4CPIJ4Gql.jpg,7.167,80,5.5,0,0,0,,False,/iuFBORoulPz4iMkyOnabiJeA5LC.jpg,,,
3488,Drums of Fu Manchu,Drums of Fu Manchu,en,"Feature version of the 1940 Republic serial, about Fu Manchu's attempt to conquer Asia.",,1943-11-27,/Ac0JwsSi41DLp1huCRXJoV9FbO.jpg,0.916,2,3.8,0,0,0,,False,,,,
3490,Drums of Fu Manchu,Drums of Fu Manchu,en,"The nefarious Dr. Fu Manchu searches for the keys to the tomb of Genghis Khan, in order to fulfill a prophecy that will enable him to conquer the world. His nemesi, Dr. Nayland Smith and his associates fight to keep the evil doctor from getting his hands on the keys. In 1943 the serial was edited together into a feature movie also called Drums of Fu Manchu.",,1940-03-15,/sA6AB8UqfhnJ2n8GuzwXF0UBLfV.jpg,1.544,5,6.1,0,0,0,,False,/1YsTBmhbeoHkHQtSWaHzdHILiJW.jpg,,,
3574,Doctor X,Doctor X,en,A wisecracking New York reporter intrudes on a research scientist's quest to unmask The Moon Killer.,,1932-08-03,/z8hlncTkxO58t5KAvNRTXnm29Ii.jpg,8.812,80,6.0,0,0,0,,False,/2ob0c9H1Z0ZiXdqJTfwzgbvdsMf.jpg,,,
3575,The Return of Doctor X,The Return of Doctor X,en,"When news reporter Walter Garrett arrives at the hotel room of bombshell actress Angela Merrova to conduct an interview, he finds her dead from multiple stab wounds. He returns with the police to find the hotel empty and the body vanished. Garrett writes about the incident but is fired when Merrova, alive and well, goes to the paper to complain. Now his only chance to get his job back is to find the truth, which involves the grisly scheme of a madman.",,1939-11-23,/hRkjIl0r3p8SsejP1g41PYx4WGc.jpg,6.271,53,6.0,0,0,0,,False,/ad4ZXMeWkL65tGbdAbtilpCzSNa.jpg,,,
3593,Dr. Cyclops,Dr. Cyclops,en,Four explorers are summoned to Peru by the brilliant physicist Dr Thorkel. They discover a rich source of radium and a half-mad Thorkel who shrinks them down to one-fifth their normal size when they threaten to stop his unorthodox experimentation.,,1940-04-09,/wUY0F1eCrC3Gy6xhg5yi4Dmd7jf.jpg,6.336,66,6.1,0,0,0,,False,/nHbIdtHO6oENW1FNOJRX11CdIY1.jpg,,,
6123,Sehnsucht,Desire,en,"Ivan, a poor Russian student, lives in Switzerland. He is unexpectedly invited to Russia by a distant relative, Princess Wirsky. To finance the journey, he works as a messenger for revolutionaries who want to depose Grand Duke Wirsky. In Moscow, he delivers the message and falls in love with Marja, the daughter of the revolutionary, but Marja's father loves Princess Wirsky and wants to betray the revolutionaries. The princess falls in love with Ivan, and jealously deports Marja to Siberia. In revenge, Ivan strangles the princess. He spends the rest of his life yearning for Marja, whom he has never kissed. When he receives the news of Marja's death, he commits suicide.",,1921-02-01,/2RVBw22FqD9myoGTcGIOgJnWorq.jpg,0.791,0,0.0,0,0,0,,False,/7cjv1RscQckNNMiMRfh75dkt9PE.jpg,,,
