id,year,symmetry,neg_space,complexity,mass_y,mass_x,text_area,text_y,text_regions,text_x,text_top,text_w,text_h,align_score,thirds_dist,n_blocks,balance,harmony,diagonal_score,pyramid_shift
1018879,2012,0.93,0.88,0.03,0.47,0.5,0.0036,0.5593,11.0,0.1001,0.2959,0.8027,0.2037,0.17,0.22,2.0,0.04,-1.0,0.04,-0.4
1017328,2022,0.82,0.13,0.13,0.53,0.51,0.2207,0.4935,193.0,0.2661,0.108,0.524,0.3183,0.08,0.24,7.0,0.05,0.91,0.19,0.17
1019219,2019,0.95,0.66,0.06,0.5,0.46,0.0876,0.4674,143.0,0.0708,0.4731,0.8554,0.2007,0.03,0.09,13.0,0.06,0.94,0.27,-0.19
1019999,1982,0.9,0.59,0.03,0.49,0.56,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21,1.0,0.11,0.91,0.14,0.21
1019846,2020,0.92,0.28,0.04,0.52,0.46,0.0513,0.7136,152.0,0.1704,0.46,0.6562,0.1301,0.14,0.24,4.0,0.07,0.94,0.05,-0.02
1019523,2021,0.86,0.13,0.17,0.53,0.49,0.2603,0.4719,332.0,0.147,0.7811,0.7021,0.1349,0.05,0.24,10.0,0.07,0.94,0.56,-0.11
1020263,2021,0.99,0.99,0.0,0.5,0.51,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23,1.0,0.01,-1.0,0.0,0.0
1020266,2021,0.95,0.94,0.02,0.51,0.51,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.22,1.0,0.02,-1.0,0.0,0.0
1019890,2022,0.88,0.29,0.14,0.46,0.48,0.1774,0.4588,173.0,0.5003,0.6449,0.4936,0.2766,0.05,0.24,11.0,0.05,0.94,0.49,-0.04
1020264,2021,0.98,0.97,0.01,0.47,0.51,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.21,1.0,0.02,-1.0,0.0,0.0
1020255,2021,0.94,0.46,0.09,0.4,0.5,0.118,0.4655,129.0,0.0591,0.026,0.917,0.2581,0.05,0.23,10.0,0.2,0.94,0.06,-0.06
1021572,2018,0.93,0.16,0.04,0.52,0.51,0.0199,0.3501,15.0,0.0562,0.7463,0.8896,0.1234,0.12,0.24,5.0,0.04,0.91,0.04,-0.1
1020280,1953,0.86,0.11,0.15,0.54,0.48,0.2426,0.5583,133.0,0.0538,0.6096,0.8863,0.1156,0.03,0.24,13.0,0.05,-1.0,0.07,0.0
1021083,2021,0.9,0.25,0.09,0.46,0.5,0.1222,0.4682,164.0,0.2855,0.2261,0.436,0.1104,0.08,0.23,6.0,0.05,0.91,0.1,-0.14
